,station,resp_file,latitude,longitude,elevation,type
0,BB01,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB01.dseed,-7.66678,112.515,579,broad_band
1,BB02,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB02.dseed,-7.56969,112.67508,98,broad_band
2,BB03,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB03.dseed,-7.75155,112.66239,779,broad_band
3,BB04,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB04.dseed,-7.60764,112.54736,319,broad_band
4,BB05,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB05.dseed,-7.66,112.4176,500,broad_band
5,BB06,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB06.dseed,-7.47007,112.74787,22,broad_band
6,BB07,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB07.dseed,-7.82224,112.52538,1100,broad_band
7,BB08,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB08.dseed,-7.58217,112.61199,276,broad_band
8,BB09,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB09.dseed,-7.50609,112.69343,38,broad_band
9,BB10,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BB10.dseed,-7.61472,112.71952,96,broad_band
10,GMJI,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/GMJI.dseed,-8.2732,113.4441,80.1,BMKG_Net
11,KRK,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/KRK.dseed,-8.1521,112.4506,330.3,BMKG_Net
12,SP01,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP01.dseed,-7.8207,112.6549,899,short_period
13,SP02,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP02.dseed,-7.8089,112.4594,1251,short_period
14,SP03,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP03.dseed,-7.6182,112.6448,543,short_period
15,SP04,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP04.dseed,-7.42875,112.7672,12,short_period
16,SP05,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP05.dseed,-7.5309,112.6951,33,short_period
17,SP06,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP06.dseed,-7.52858,112.67147,46,short_period
18,SP07,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP07.dseed,-7.55378,112.73259,35,short_period
19,SP08,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP08.dseed,-7.50295,112.74337,35,short_period
20,SP09,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP09.dseed,-7.54083,112.69342,34,short_period
21,SP10,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP10.dseed,-7.48538,112.70097,30,short_period
22,SP11,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP11.dseed,-7.563,112.7757,36,short_period
23,SP12,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP12.dseed,-7.53112,112.73709,43,short_period
24,SP13,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP13.dseed,-7.5478,112.7127,37,short_period
25,SP14,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP14.dseed,-7.45868,112.6405,42,short_period
26,SP15,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP15.dseed,-7.5061,112.6728,34,short_period
27,SP16,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP16.dseed,-7.4834,112.66747,36,short_period
28,SP17,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP17.dseed,-7.58986,112.70984,51,short_period
29,SP18,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP18.dseed,-7.51585,112.73067,25,short_period
30,SP19,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP19.dseed,-7.54207,112.74366,12,short_period
31,SP20,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP20.dseed,-7.53169,112.63348,31,short_period
32,SP21,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP21.dseed,-7.5499,112.7339,42,short_period
33,SP22,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP22.dseed,-7.53,112.7149,45,short_period
34,SP23,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP23.dseed,-7.47007,112.74787,22,short_period
35,SP24,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/SP24.dseed,-7.47007,112.74787,22,short_period
36,BLJI,/uio/lagringshotell/geofag/ceed/seismology/LUSI/data/dataless_RESP/BLJI.dseed,-7.745,113.595,80.8,BMKG_Net
